Xacc	Yacc	Zacc
-0.038936	0.054482	1.911172
-0.043574	0.054482	1.911172
-0.043574	0.054482	1.911172
-0.043574	0.054482	1.911172
-0.043574	0.054482	1.911172
-0.043574	0.054482	1.911172
-0.043574	0.054482	1.911172
-0.043574	0.054482	1.911172
-0.043574	0.054482	1.911172
-0.043574	0.054482	1.911172
-0.043574	0.054482	1.911172
-0.043574	0.054482	1.911172
-0.043574	0.054482	1.911172
-0.043574	0.054482	1.911172
-0.043574	0.054482	1.911172
-0.043452	0.054116	1.922402
-0.043452	0.054116	1.922402
-0.043452	0.054116	1.922402
-0.043452	0.054116	1.922402
-0.043452	0.054116	1.922402
-0.043452	0.054116	1.922402
-0.043452	0.054116	1.922402
-0.043452	0.054116	1.922402
-0.043452	0.054116	1.922402
-0.043452	0.054116	1.922402
-0.043452	0.054116	1.922402
-0.043452	0.054116	1.922402
-0.043452	0.054116	1.922402
-0.043452	0.054116	1.922402
-0.043452	0.054116	1.922402
-0.043452	0.054116	1.922402
-0.043452	0.054116	1.922402
-0.043818	0.056191	1.909951
-0.043818	0.056191	1.909951
-0.043818	0.056191	1.909951
-0.043818	0.056191	1.909951
-0.043818	0.056191	1.909951
-0.043818	0.056191	1.909951
-0.043818	0.056191	1.909951
-0.043818	0.056191	1.909951
-0.043818	0.056191	1.909951
-0.043818	0.056191	1.909951
-0.043818	0.056191	1.909951
-0.043818	0.056191	1.909951
-0.043818	0.056191	1.909951
-0.043818	0.056191	1.909951
-0.043818	0.056191	1.909951
-0.043818	0.056191	1.909951
-0.043818	0.056191	1.915811
-0.041133	0.05436	1.915811
-0.041133	0.05436	1.915811
-0.041133	0.05436	1.915811
-0.041133	0.05436	1.915811
-0.041133	0.05436	1.915811
-0.041133	0.05436	1.915811
-0.041133	0.05436	1.915811
-0.041133	0.05436	1.915811
-0.041133	0.05436	1.915811
-0.041133	0.05436	1.915811
-0.041133	0.05436	1.915811
-0.041133	0.05436	1.915811
-0.041133	0.05436	1.915811
-0.041133	0.05436	1.915811
-0.041133	0.05436	1.915811
-0.041133	0.05436	1.915811
-0.041133	0.05436	1.915811
-0.041865	0.054238	1.915811
-0.041865	0.054238	1.915811
-0.041865	0.054238	1.915811
